,nome,biografia
68,Carlos Lamarca,"Nascido no Rio de Janeiro (RJ), desde jovem Carlos Lamarca participou de manifestações de rua como da campanha nacionalista “O petróleo é nosso”. Concluiu o curso ginasial e, antes de completar 18 anos, ingressou na Escola Preparatória de Cadetes, em 1955. Deixou a casa da família, no Morro de São Carlos, no bairro do Estácio, Rio de Janeiro, para entrar na rotina militar da escola preparatória localizada em Porto Alegre (RS). Após os dois primeiros anos de curso, Lamarca ingressou na Academia Militar das Agulhas Negras (AMAN), transferindo-se para Resende (RJ). Em 1960, formou-se como aspirante a oficial e assumiu seu primeiro posto na carreira militar, no 4º Regimento de Infantaria na cidade de Osasco (SP). Além disso, em 1962, foi selecionado pelo Exército e enviado para Gaza, na Palestina, como integrante do Batalhão de Suez, em missão de paz organizada pela Organização das Nações Unidas (ONU).  De volta ao Brasil, pouco mais de um ano depois, foi lotado na 6ª Companhia de Polícia do Exército, em Porto Alegre (RS). Quando o golpe de 1964 foi desfechado contra o presidente João Goulart, Lamarca servia nessa companhia. Segundo Inês Etienne Romeu, Lamarca admirou a tentativa de resistência de Leonel Brizola e solicitou inscrição junto ao Partido Comunista Brasileiro (PCB), que não chegou a ser formalizada. Documentos produzidos por organismos de segurança mostram o monitoramento de Lamarca e o identificam, nessa época, como simpatizante do PCB. Ainda de acordo com documentação, em dezembro de 1964, ele teria permitido a fuga do capitão da Aeronáutica, Alfredo Ribeiro Daudt, que se encontrava sob sua guarda no batalhão da Polícia do Exército, em Porto Alegre. A partir dessa época, Lamarca intensificaria o contato com grupos que se opunham à ditadura militar. Antes de abandonar as fileiras do Exército, ele teria organizado a ida de sua família para Cuba, após um encontro com Carlos Marighella, líder da Ação Libertadora Nacional (ALN), em setembro de 1968. No ano seguinte, em 24 de janeiro de 1969, Lamarca liderou um grupo de militares do 4º Regimento de Infantaria que deixou aquela unidade levando 63 fuzis FAL, três metralhadoras leves e munição. Com esta ação, o então capitão Carlos Lamarca abandonou as Forças Armadas e passou para a clandestinidade, tornando-se um dos principais líderes da resistência armada ao regime. Há diversos documentos disponíveis no Arquivo Nacional produzidos pelos órgãos de segurança que fazem referência direta à atuação de Carlos Lamarca e aos recursos empregados pela ditadura para localizá-lo e eliminá-lo. A perseguição a Lamarca que, após a execução de Carlos Marighella, em novembro de 1969, tornou-se o principal alvo da repressão política, é evidenciada também em documentação entregue à Comissão Nacional da Verdade pela Embaixada dos Estados Unidos no Brasil. O documento informa sobre a morte de Carlos Lamarca e argumenta que “o embaraçoso fiasco, no ano passado, na área de registro do estado de São Paulo, durante o qual Lamarca escapou de uma grande força militar, também serviu para reforçar a determinação das forças de segurança, em ter a cabeça do líder terrorista”. Em 1971, uma operação que contou com militares do Exército, Marinha e Aeronáutica, além de policiais civis e militares foi montada com o objetivo de localizar e executar o capitão Lamarca. Ele foi morto em 17 de setembro daquele ano, aos 33 anos, em Ipupiara, sertão da Bahia, tendo sido alvo desta operação, a Pajussara. O comandante do DOI-CODI de Salvador e Chefe da 2ª Seção do Estado- Maior da 6ª Região Militar, major Nilton de Albuquerque Cerqueira, reuniu um efetivo de mais de 200 agentes militares e policiais, de órgãos como o Departamento de Ordem Política e Social de São Paulo (DOPS/SP), Centro de Informações da Aeronáutica (Cisa), Centro de Informações do Exército (CIE), Centro de Informações da Marinha (Cenimar), Força Aérea Brasileira (FAB), Departamento de Polícia Federal da Bahia (DPF/BA) e Polícia Militar da Bahia (PM/BA), que invadiram a região de Buriti Cristalino, no dia 28 de agosto de 1971. A operação militar que logrou localizar e matar Carlos Lamarca se inseriu em um complexo conjunto de ações militares. As forças de segurança recorreram a um conjunto de ações irregulares e ilegais, baseadas na prática de prisões arbitrárias e ilegais, tortura e execuções. Lamarca foi executado por agentes do Estado brasileiro com sete tiros, disparados de diversas direções, inclusive por trás, o que atesta que foi cercado. Segundo moradores, seu corpo e o de Zequinha Barreto foram colocados à exposição pública na praça de Brotas de Macaúbas, onde foram chutados por militares e policiais, que se gabavam de tê-los executado. Depois, foram colocados em um helicóptero e levados para a capital, Salvador, onde foram sepultados, no Cemitério do Campo Santo.   "
69,Carlos Marighella,"Nascido aos 5 de dezembro de 1911 em Salvador (BA), Carlos Marighella foi fundador e dirigente nacional da Ação Libertadora Nacional (ALN), consistindo como principal liderança da luta armada contra a ditadura militar. Aos 18 anos, ingressou na Escola Politécnica da Bahia para cursar Engenharia e começou a militar no PCB. Em 1932, depois de escrever um poema crítico, tendo como alvo o interventor Juracy Magalhães, foi preso pela primeira vez. Três anos depois, quando se mudou para o Rio de Janeiro (RJ), já fazia parte da Comissão Especial do Comitê Central do PCB e era responsável por todo o trabalho de imprensa e divulgação do partido. Foi preso novamente no dia 1° de maio de 1936, e conheceu a tortura, tendo as solas dos pés queimadas por maçarico e as unhas separadas por estiletes nelas enfiados. Só seria libertado em 1937, depois da anistia assinada pelo ministro Macedo Soares. Libertado, Marighella mudou-se para São Paulo (SP). Com 26 anos de idade tornou-se membro do Comitê Estadual de São Paulo. Em 1939, voltou a ser preso, desta vez, de um presídio em São Paulo foi transferido para a ilha de Fernando de Noronha. Sua terceira prisão durou seis anos. Em 1945, conquistada a anistia, voltou à liberdade. Com o fim da ditadura, o Brasil experimentaria curto período democrático e sua liderança política e prestígio o elegeram deputado à Assembleia Nacional Constituinte de 1946. A legalidade democrática e a liberdade partidária duraram pouco, em 1948, por 169 votos a favor e 74 contra, foram cassados os mandatos dos deputados eleitos pelo PCB. Cassado, Marighella caiu na clandestinidade novamente, desta vez para o resto de sua vida. Em 1952, passou a integrar a Comissão Executiva do Comitê Central do PCB, e, no ano seguinte, foi enviado à China. Durante mais de um ano, estudou a experiência da Revolução Chinesa. Com a renúncia de Jânio Quadros, em 1962, começaria o distanciamento de Marighella da ortodoxia do PCB. Poucas semanas depois do golpe, em 9 de maio de 1964, foi localizado por policiais em um cinema no bairro da Tijuca, no Rio de Janeiro, e resistiu à prisão, sendo baleado à queima-roupa. Somente em 31 de julho foi libertado, com habeas corpus impetrado pelo advogado Sobral Pinto. Marighella caminhava rapidamente para uma ruptura definitiva com a direção do PCB. A participação na 1° Conferência da Organização Latino-Americana de Solidariedade (OLAS), ao lado de lideranças como Ernesto Che Guevara, custou sua expulsão do partido. Foi argumentado pelo PCB que Marighella precisaria de autorização para participar, coisa que ele rechaçou. Afastado definitivamente do PCB, Marighella expôs no documento intitulado “Pronunciamento do Agrupamento Comunista e São Paulo”, de fevereiro de 1968, os motivos do rompimento com o partido e anunciou o surgimento de uma organização disposta a dar início imediatamente às ações políticas armadas. Marighella fundou, em julho de 1968, a Ação Libertadora Nacional (ALN). Com sua presença e sob seu comando e de Joaquim Câmara Ferreira, a ALN deflagrou, já em 1968, as primeiras operações de guerrilha urbana no Brasil. A resistência armada à ditadura, que teve em Marighella uma das mais importantes lideranças, teria na ALN uma de suas principais organizações. Uma das ações mais conhecidas ocorreu no dia 4 de setembro de 1969: o sequestro do embaixador dos Estados Unidos, idealizado pela Dissidência Comunista da Guanabara (DI/GB), que pediu apoio logístico e militar da ALN para executar a ação. Quando foi morto, na noite de 4 de novembro de 1969, Carlos Marighella era considerado pela ditadura militar o seu inimigo número um. Apesar de sua execução ter sido realizada pelo DOPS/SP, sua busca envolveu praticamente todo o aparato repressivo, com a colaboração de vários órgãos na operação que resultou na sua localização. Segundo a versão oficial, Marighella morreu em tiroteio com policiais do DOPS/ SP. Sob tortura, um militante da ALN revelou uma importante pista aos agentes da repressão: que Marighella tinha uma ligação com membros da ordem religiosa dos dominicanos. Presos e torturados, dominicanos foram usados como “isca”, ou seja, forjaram um encontro com o líder guerrilheiro, justamente no local onde ele seria executado. Um grande aparato policial foi montado no local, sob o comando do delegado Sérgio Paranhos Fleury. Naquela noite de 4 de novembro, no horário marcado, Marighella atravessou a alameda Lorena e viu um Fusca azul onde se encontravam os dominicanos. Ele se aproximou, abriu a porta do carona e entrou no carro, que tinha frei Fernando no banco de carona e frei Ivo ao volante. Ato contínuo, os policiais do DOPS/SP tiraram os dominicanos do carro e encurralaram Marighella. Fleury chegou em seguida e deu voz de prisão. Ao que Marighella fez um gesto, de pegar alguma coisa na pasta que trazia consigo, os policiais abriram fogo à queima-roupa, matando o guerrilheiro indefeso. A perícia da CNV concluiu que Carlos Marighella foi atingido por pelo menos quatros projéteis de arma de fogo, que foram desferidos quando ele estava no banco traseiro do Fusca em que fora encontrado. Fortalece tal afirmação a inexistência de qualquer marca de sangue nas molduras das portas do veículo. Também, constatou-se não ter havido troca de tiros, pois todos os disparos observados partiram de fora para dentro do veículo. A perícia da CNV inferiu, ainda, que todos os disparos partiram de um plano superior ao da vítima e que esta se encontrava deitada no banco do carro. O tiro que atingiu Marighella na região torácica, provavelmente o último, foi efetuado a curtíssima distância (menos de oito centímetros), através do vão formado pela abertura da porta direita do veículo, numa ação típica de execução."
70,Carlos Nicolau Danielli,"Nascido em Niterói, Carlos Nicolau Danielli começou a trabalhar com 15 anos de idade nos estaleiros de construção naval de São Gonçalo (RJ). Foi o seu primeiro contato com o movimento operário. Mais tarde, ele se tornaria um ativista sindical. Em 1946, ingressou na Juventude Comunista e, em 1948, filiou-se ao Partido Comunista Brasileiro (PCB), sendo eleito membro do Comitê Central, em 1954, no IV Congresso do partido. Ainda antes do golpe de 1964, Carlos foi para Cuba com Ângelo Arroyo prestar solidariedade ao povo cubano após a “crise dos mísseis”. Tornou-se responsável pelo jornal A Classe Operária, publicado de forma clandestina e distribuído em vários estados brasileiros. Em 1962, participou da fundação do Partido Comunista do Brasil (PCdoB), uma dissidência do PCB. Carlos Danielli, um dos líderes do Partido Comunista do Brasil (PCdoB), foi preso em São Paulo, no dia 28 de dezembro de 1972. A versão divulgada por comunicado dos órgãos de segurança, informa que Carlos Danielli teria sido morto em tiroteio com policiais. Passados mais de 40 anos, as investigações permitem concluir que a versão divulgada à época não se sustenta. De acordo com os depoimentos de Maria Amélia de Almeida Teles e César Augusto Teles, militantes políticos presos com ele, Carlos Danielli morreu sob tortura na madrugada de 30 de dezembro de 1972, nas dependências do DOI-CODI do II Exército, em São Paulo. Segundo os depoimentos desses dois militantes, Carlos foi preso em 28 de dezembro de 1972. A partir dessa data, foi torturado sob o comando do então major do Exército Carlos Alberto Brilhante Ustra, do capitão Dalmo Lúcio Muniz Cirillo e do capitão Ubirajara, codinome do delegado de polícia Aparecido Laerte Calandra. A tortura foi realizada por diferentes equipes do DOI-CODI/SP durante os três dias em que esteve preso até ser assassinado. Em 1996, a relatora do caso na CEMDP, Suzana Keniger Lisbôa, destacou que “o laudo necroscópico, assinado pelos médicos legistas Isaac Abramovitc e Paulo A. de Queiroz Rocha, no dia 2 de janeiro de 1973, não descreve as torturas sofridas por Danielli e confirma a falsa versão policial de morte em tiroteio”. Carlos Nicolau Danielli foi enterrado como indigente no Cemitério Dom Bosco, em Perus, na capital paulista. Após a promulgação da Lei de Anistia, seus familiares e amigos puderam sepultar seus restos mortais em Niterói (RJ), em 11 de abril de 1980."
71,Carlos Roberto Zanirato,"Nascido em Ourinhos (SP), Carlos Roberto Zanirato entrou para o Exército aos 18 anos. Em 24 de janeiro de 1969, ocupando a posição de soldado, sob a liderança do ex-capitão Carlos Lamarca, deixou o 4° Regimento de Infantaria (4° RI) em Osasco (SP), para integrar a Vanguarda Popular Revolucionária (VPR). Nesse mesmo ano, Carlos Roberto tinha 19 anos quando foi morto por agentes do Estado brasileiro em decorrência das torturas a que fora submetido no Departamento Estadual de Ordem Política e Social de São Paulo (DEOPS/SP). De acordo com versão divulgada à época da morte, Carlos Roberto havia sido preso no dia 23 de junho de 1969. Depois de ser submetido a interrogatório, Carlos teria revelado a informação de que tinha um encontro marcado (um “ponto”) com outros militantes. Conduzido pelos agentes ao local do suposto encontro, Carlos Roberto teria aproveitado um momento de descuido dos policiais e se atirado sob um ônibus que trafegava pela avenida. Ainda de acordo com essa narrativa, Carlos Roberto teria tido morte instantânea. Passados mais de 40 anos, as investigações sobre esse episódio mostram que tal versão não se sustenta. De acordo com informação em documento produzido pela Agência São de Paulo do Serviço Nacional de Informações, Carlos foi preso por agentes do 4° RI, a mesma unidade de onde havia desertado. Ademais, na requisição do exame cadavérico, com data de 29 de junho de 1969, Zanirato é identificado pelo nome. Apesar disso, de acordo com outro laudo datado de 23 de setembro de 1969, assinado por Orlando Brandão e José Manella Netto do Instituto Médico-Legal do Estado de São Paulo (IML/SP), não havia dados sobre a qualificação pessoal de Carlos Roberto e o corpo examinado era o de um desconhecido. O laudo registra ainda que o corpo apresentava um par de algemas com a corrente partida, ficando uma algema em cada pulso. Todos esses detalhes revelam que o suposto suicida se encontrava preso, o que torna inverossímil que tenha sido considerado um desconhecido, conforme consta na solicitação de exame necroscópico. Tal situação fortalece a hipótese de que a real intenção dos agentes de segurança era a de ocultar seu cadáver. Os relatórios dos ministérios da Marinha e da Aeronáutica entregues ao ministro da Justiça Maurício Corrêa, em 1993, confirmam sua morte como suicídio, e o da Marinha faz referências inclusive ao fato de que ele se encontrava algemado. O corpo de Carlos Roberto Zanirato foi enterrado como indigente no Cemitério da Vila Formosa, em São Paulo, e permanece desaparecido até hoje."
72,Carlos Schirmer,"Nascido em Além Paraíba, Carlos Schirmer era filho de um engenheiro austríaco que veio para o Brasil ainda durante o período do Império, a convite do imperador D. Pedro II, para trabalhar na construção da primeira estrada de ferro brasileira, a Estrada de Ferro Baturité. Passou parte da infância e da adolescência no interior de São Paulo em uma fazenda de café de propriedade de seu pai. Depois do encerramento do chamado ciclo do café, sua família perdeu todos os bens e mudou-se para o Rio de Janeiro. A primeira esposa de Carlos foi Maria de Lourdes Guimarães, com quem teve um filho, Luiz Carlos. Ela faleceu em 1932. Alguns anos mais tarde, casou-se novamente, dessa vez com Mariana de Carvalho Schirmer, com quem teve uma filha, Silvia Schirmer. No Rio de Janeiro, Carlos trabalhou na Casa Mayrink Veiga, como eletricista e ascensorista. Filiou-se ao Partido Comunista Brasileiro (PCB) no início dos anos 1920. Mudou-se logo após para Divinópolis, em Minas Gerais, onde viveu até a sua morte com 68 anos de idade. Carlos Schirmer morreu no dia 1º de maio de 1964, em decorrência de ação perpetrada por agentes do Estado. Na manhã do dia 1º , Carlos foi procurado por policiais enviados pelo coronel Melquíades Líbano Horto, chefe do Departamento de Vigilância Social da Secretaria de Segurança Pública, que pretendiam levá-lo à delegacia para prestar esclarecimentos sobre suas atividades políticas. Carlos recusou-se a acompanhá-los. O coronel Melquíades mandou, então, que os policiais retornassem e levassem Carlos à força. Diante da nova recusa, ordenou reforço e, acompanhando os policiais, dirigiu-se à casa da vítima. Os agentes de segurança invadiram a casa. Carlos reagiu à prisão e feriu levemente dois policiais. Em seguida, refugiou-se em um barracão que, segundo sua filha, funcionava como uma oficina. Nesse instante, o responsável pela operação, o coronel Melquíades, determinou que se atirasse na direção do local onde Carlos estava. Logo depois, os policiais jogaram bombas de efeito moral. Durante a confusão que se instaurou na ocasião, Carlos se escondeu em um forro de sua residência, sendo descoberto posteriormente pelos policiais. Segundo a falsa versão, apresentada no relatório do coronel Melquíades, Carlos teria sentido os efeitos do gás e descido do local em que estava. Nesse instante, utilizando-se de uma carabina calibre 22, teria atirado contra si próprio, na altura do queixo. Conforme depoimentos de pessoas que testemunharam os fatos, Carlos, com um ferimento no pescoço, foi jogado pelos policiais em uma caminhonete. Foi inicialmente levado ao Hospital Nossa Senhora Aparecida, em Divinópolis e, posteriormente, ao Hospital Felício Roxo, em Belo Horizonte, para poder ser operado, mas não resistiu aos ferimentos e morreu. O relator do caso junto à CEMDP solicitou a realização de perícia técnica. De acordo com a análise, o laudo de necropsia descreveu duas lesões, sendo a primeira decorrente de disparo de arma de fogo. Segundo o perito, o tiro teria sido disparado à distância e não por meio de arma próxima ao corpo. A segunda lesão se deu em função da saída do projétil. Tal análise apontou para uma contradição entre a descrição do laudo de necropsia e o relatório do coronel responsável pelo inquérito."
73,Carmem Jacomini,"Carmem Jacomini foi uma estudante de artes cênicas e militante da Ação Libertadora Nacional, Movimento Revolucionário 8 de outubro e da Vanguarda Popular Revolucionária. Exilou-se no Chile e posteriormente mudou-se para a França onde faleceu em 1977 em um acidente de carro. A Comissão Nacional da Verdade não conseguiu caracterizar a responsabilidade do Estado por sua morte."
74,Cassimiro Luiz de Freitas,"Nascido em Goiás, Cassimiro Luiz de Freitas era natural de Catalão. Lavrador, na década de 1950 formou uma associação de camponeses em Goiás com José Porfírio de Souza, reconhecido líder das mobilizações agrárias na região de Formoso e Trombas (GO) e desaparecido em 1973. Em 1953, foi vítima de um atentado contra sua vida, mas conseguiu sobreviver. Com o golpe de 1964, mudou-se para Campinas (SP) e passou a viver na clandestinidade. No final dos anos 1960, retornou à Pontalina (GO) onde fundou, em 1969, a União Camponesa, setor agrário da VAR-Palmares. Cassimiro Luiz de Freitas morreu no dia 19 de março de 1970 após ser preso junto a seu filho Cornélio Alves de Freitas pela Polícia Militar do Estado de Goiás em 26 de janeiro de 1970. Enquanto detido nas dependências do 10° Batalhão de Caçadores do Exército, permaneceu separado de seu filho, voltando a reencontrá-lo somente quando foi libertado. Após sair da prisão, foi deixado em uma praça por um jipe do Exército, a mando do delegado da Polícia Federal José Xavier Bonfim, apresentando sinais de tortura e com a saúde muito debilitada. Cassimiro afirmou a Divina Carolina de Macedo e a seu marido João Teixeira Macedo, que o socorreram, que, além de ter sido torturado, fora obrigado a ingerir veneno. Segundo eles, quando Cassimiro saiu da prisão “vomitava sangue, tinha manchas nos braços, estava magro e decaído”. Faleceu em sua residência três dias após ser solto, mesmo depois de receber assistência médica. Segundo o médico Mauro Lourenço Borges, que atendeu Cassimiro em sua residência, ele se encontrava em: “pré-coma, apático, palidez intensa, respiração ruidosa, desidratado, panículo adiposo diminuído, pele flácida, caquético, apresentando hematomas e escoriações disseminadas pelo corpo, além de vômitos e diarreia sanguinolenta, praticamente em fase terminal. [...] Seu estado clínico era bastante crítico, agravando-se nas horas seguintes. O corpo de Cassimiro Luiz de Freitas foi sepultado no Cemitério de Pontalina (GO) por seus familiares."
75,Catarina Helena Abi-Eçab,"Nascida na cidade de São Paulo (SP), Catarina Helena Xavier Ferreira passou a usar o nome Catarina Helena Abi Eçab depois do casamento com João Antônio Santos Abi Eçab, em maio de 1968. O casal se conheceu cursando Filosofia na Universidade de São Paulo (USP), na Faculdade de Filosofia, Letras e Ciências Humanas, e integrando-se ao movimento estudantil. Ambos militaram na Ação Libertadora Nacional (ALN). Catarina morreu no dia 8 de novembro de 1968, próximo ao município de Vassouras, no estado do Rio de Janeiro, aos 21 anos de idade. No ano de 2000, a exumação de seus restos mortais comprovou que Catarina havia sido alvejada na cabeça por um projétil, sendo esta a causa efetiva de seu óbito e não apenas a colisão do automóvel, onde o seu corpo foi encontrado ao lado do marido. A falsa versão divulgava que a causa da morte teria sido um acidente automobilístico, ocorrido por volta das 19 horas, na altura do quilômetro 69, da rodovia BR-116, na estrada que liga o Rio de Janeiro à Bahia. De acordo com testemunhas, João Antônio foi retirado do carro ainda com vida e, na sequência, morreu. No veículo, teriam sido supostamente encontrados uma metralhadora, munição, dinheiro, livros e documentos pessoais das vítimas. Em 2014, a CNV elaborou um Laudo Pericial Indireto sobre o caso. As conclusões apontaram para a veracidade do acidente ainda que não seja possível precisar com exatidão se houve perseguição ao carro, tampouco o estado de integridade física de Catarina e João Antônio antes do sinistro. Apesar de a colisão de fato ter ocorrido, o laudo pericial afirma, baseado no laudo da exumação anterior (2000), que Catarina ocupava o banco passageiro e veio a óbito por causa de um projétil de arma de fogo. O corpo de João Antônio, que guiava o carro no momento do acidente, não passou por exumação e perícia. Os restos mortais de Catarina Helena Abi Eçab foram enterrados no Cemitério do Araçá, em São Paulo."
76,Célio Augusto Guedes,"Nascido no interior do estado da Bahia, Célio Augusto Guedes passou sua juventude em Salvador. Na década de 1930, quando se preparava para o vestibular no Ginásio da Bahia, ingressou na Juventude Comunista do Partido Comunista Brasileiro (PCB), e chegou a ser membro da direção estadual do partido. Foi preso com outros militantes e levado ao Departamento de Ordem Política e Social (DOPS), onde ficou detido por mais de 30 dias, por ter denunciado as violências do Estado Novo. Formou-se em Odontologia e tornou-se servidor público vinculado à Secretaria de Saúde da Bahia. Após o golpe militar de abril de 1964, a casa de Célio foi invadida por militares. A partir daí, abandonou suas atividades profissionais na Bahia e passou a viver na clandestinidade. Mudou-se para o Rio Grande do Sul e passou a trabalhar na segurança de Luís Carlos Prestes, como responsável pelo deslocamento do secretário-geral do PCB pelo país. Com a decretação do Ato Institucional nº 5 (AI-5), de 13 de dezembro de 1968, teve seus direitos políticos suspensos por dez anos. Em julho de 1972, Célio Augusto foi incumbido pelo PCB de ir de carro a Montevidéu, no Uruguai, encontrar-se com o médico Fued Saad, com o propósito de trazê-lo, clandestinamente, de volta ao Brasil – tipo de missão que ele cumprira outras vezes. Ao cruzar um posto na fronteira, ambos foram identificados, detidos e transportados em avião diretamente para a sede do Centro de Informações da Marinha (Cenimar) no Rio de Janeiro. Foram separados quando Faad foi hospitalizado, com uma crise de diabetes. Pouco se sabe sobre o tratamento que Célio Augusto recebeu enquanto detido. Ele morreu no dia 15 de agosto de 1972, nas dependências do Comando do 1° Distrito Naval, ligado ao Cenimar. De acordo com a versão divulgada à época, teria se suicidado, jogando-se do sétimo andar do prédio, pela janela de um banheiro. As investigações realizadas sobre a morte de Célio Augusto Guedes revelaram a existência de indícios que permitem apontar a falsidade da versão divulgada pelos órgãos da repressão. Apesar de não ter sido possível encontrar o laudo de exame cadavérico de Célio Guedes, o laudo da perícia do local, datado do ano de 1972, aponta a ocorrência de tortura antes da morte. De acordo com o laudo, foram constatados “ferimentos por ação contundente em considerável parte do corpo”. As fotos que acompanham a perícia comprovam a existência de escoriações intensas no rosto de Célio Augusto. O Boletim da Anistia Internacional de 1974, afirma que Célio foi morto sob tortura logo após a prisão."
77,Celso Gilberto de Oliveira,"Nascido em 26 de junho de 1945, em Porto Alegre (RS), Celso Gilberto de Oliveira trabalhava como corretor de imóveis. Era militante da Vanguarda Popular Revolucionária (VPR), quando desapareceu em dezembro de 1970, após ser capturado por agentes do CISA - Centro de Informações da Aeronáutica e ter passado alguns dias preso no DOI-CODI/ do I Exército. No dia 7 de agosto de 1970, o embaixador suíço no Brasil, Giovanni Enrico Bucher, foi sequestrado por integrantes da VPR, que exigiram do governo ditatorial a libertação de 70 presos políticos. Naqueles dias, os órgãos de segurança e informações procuravam, de toda forma, obter subsídios que permitissem a identificação do local de cativeiro do embaixador. A prisão de Celso Gilberto de Oliveira ocorreu, portanto, nesse contexto. Entre os dias 9 e 10 de dezembro, a documentação diverge sobre a data, ele foi preso por agentes do Centro de Informações da Aeronáutica. Posteriormente, Celso Gilberto foi remetido, dia 11 ou 18, ao DOI-CODI/RJ, onde foi submetido a torturas e interrogatórios. De acordo com o Dossiê ditadura: mortos e desaparecidos políticos no Brasil, com base em denúncias feitas por outros presos políticos, Celso Gilberto foi torturado no DOI-CODI/RJ pelos tenentes do Exército conhecidos por “Hulk”, “Teles” e “James”. O ex-preso político Sinfrônio Mesa Netto relata ainda que, entre os dias 24 e 25 de dezembro, foi acareado com Celso, ocasião em que pôde constatar as torturas e maus tratos que Celso vinha sofrendo. Em um dos interrogatórios a que foi submetido, consta que o militante da VPR prestou informações sobre o local em que o embaixador suíço vinha sendo mantido. Durante a diligência de verificação, segundo a versão oficial, Celso Gilberto teria empreendido uma tentativa malograda de fuga, vindo, então, a falecer, após ser perseguido e baleado fatalmente. O reconhecimento da morte também se encontra em documento de autoria do CISA. Em seu anexo, consta uma extensa lista de militantes, aliados e simpatizantes das organizações que faziam oposição ao regime militar, registrando eventuais codinomes e a situação de cada um (por exemplo, se a pessoa estava presa ou morta). Esse documento foi distribuído a inúmeros órgãos de segurança e informações, como a Agência Central do Serviço Nacional de Informações, o Centro de Inteligência do Exército e o Centro de Informações da Marinha, para citar apenas os órgãos centrais. Nele, consta que Celso Gilberto de Oliveira, o “Alan”, já havia “falecido”. Curioso e significativo é notar que, meses depois, em documento com as mesmas características do anterior, registrava apenas que Celso Gilberto encontrava- se “preso”. No mesmo sentido, em nenhum dos relatórios entregues pelas Forças Armadas ao ministro da Justiça Maurício Corrêa em 1993 há o reconhecimento da morte de Celso Gilberto. Nesse sentido, registra-se a tentativa do DOI-CODI/RJ de encobrir informação sobre a morte do militante, por meio da divulgação de um relatório em que consta que o prisioneiro teria simplesmente se evadido e não morrido, como de fato ocorreu, após perseguição e ferimentos mortais causados por balas. Fazemos menção ao “relatório da Operação Petrópolis”, consignado no relatório do ministro do Exército entregue ao ministro da Justiça – documento, por sinal, não localizado nos acervos da ditadura militar custodiados pelo Arquivo Nacional."
78,Chael Charles Schreier,"Chael Charles Schreier nasceu em São Paulo no dia 23 de setembro de 1946. Estudou medicina na Faculdade de Ciências Médicas da Santa Casa de Misericórdia de São Paulo até o 5º ano do curso e exerceu atuação política na União Estadual dos Estudantes de São Paulo, na Dissidência Estudantil do PCB (Disp) e, finalmente, na VAR-Palmares. Entrou na clandestinidade com a promulgação do Ato Institucional nº 5. Chael foi preso no dia 21 de novembro de 1969, em Lins de Vasconcelos, no Rio de Janeiro, numa casa que ocupava com dois companheiros da VAR-Palmares: Maria Auxiliadora Lara Barcellos e Antônio Roberto Espinosa. Dora, como Maria Auxiliadora era conhecida, declarou, em depoimento, que os três foram presos por uma equipe mista, composta por agentes do DOPS e da Polícia do Exército (PE). O militante morreu no dia seguinte à prisão, em decorrência da brutal tortura a que fora submetido nas dependências do DOPS e do Quartel da Polícia do Exército da Vila Militar. Em documento da 1ª Divisão de Infantaria do I Exército da Vila Militar, datada de 24 de novembro de 1969, registra que Chael e os companheiros teriam resistido à prisão por meio de disparos de arma de fogo e do lançamento de bombas de fabricação caseira. Os militantes teriam saído feridos do confronto e recebido atendimento médico, no entanto, Chael Schreier não teria resistido e veio a falecer. No entanto, fotos encontradas no acervo do DOPS pela cineasta Anita Leandro, que exibem Chael da cintura para cima, sem camisa e nenhum ferimento aparente, comprovam que, ao chegar às dependências daquele órgão da repressão, o militante encontrava-se ileso, o que desmente a versão oficial sobre a morte de Chael. Ademais, em depoimento à CNV, prestado no dia 25 de julho de 2014, o sargento Euler Moreira de Moraes, responsável pela prisão de Chael, alega que capturou o militante sem efetuar nenhum disparo e que o entregou à prisão ileso. A família foi informada da morte de Chael somente no dia 25 de novembro. Como informa o Dossiê ditadura, seu corpo foi entregue aos familiares em caixão lacrado e o traslado para São Paulo foi realizado sob vigilância de agentes do II Exército, que proibiram a realização do ritual judaico de sepultamento, a fim de se evitar que o caixão fosse aberto e que os ferimentos de Chael fossem constatados. Em 24 de janeiro de 2014, Antônio Espinosa relatou em depoimento à CNV que o corpo de Chael chegou a ser levado a uma sinagoga em São Paulo e que, nesse local, apesar da vigilância dos agentes de segurança, dois jornalistas da revista Veja, Bernardo Kucinski e Raimundo Pereira, além de uma junta médica, puderam constatar os ferimentos que denunciavam a tortura de Chael."
